NUMBER,STREET,CITY,POSTCODE,country
6a,Birkenweg,Aesch,4147,CH
1,Birsmatt,Aesch,4147,CH
11,Birsmatt,Aesch,4147,CH
2,Birsmatt,Aesch,4147,CH
3,Birsmatt,Aesch,4147,CH
4,Birsmatt,Aesch,4147,CH
5,Birsmatt,Aesch,4147,CH
6,Birsmatt,Aesch,4147,CH
7,Birsmatt,Aesch,4147,CH
8,Birsmatt,Aesch,4147,CH
9,Birsmatt,Aesch,4147,CH
10,Birsweg,Aesch,4147,CH
10a,Birsweg,Aesch,4147,CH
12,Birsweg,Aesch,4147,CH
12a,Birsweg,Aesch,4147,CH
14,Birsweg,Aesch,4147,CH
16,Birsweg,Aesch,4147,CH
18,Birsweg,Aesch,4147,CH
2,Birsweg,Aesch,4147,CH
20,Birsweg,Aesch,4147,CH
22a,Birsweg,Aesch,4147,CH
22b,Birsweg,Aesch,4147,CH
22c,Birsweg,Aesch,4147,CH
22d,Birsweg,Aesch,4147,CH
22e,Birsweg,Aesch,4147,CH
22f,Birsweg,Aesch,4147,CH
22g,Birsweg,Aesch,4147,CH
24,Birsweg,Aesch,4147,CH
26,Birsweg,Aesch,4147,CH
28,Birsweg,Aesch,4147,CH
2a,Birsweg,Aesch,4147,CH
30,Birsweg,Aesch,4147,CH
32,Birsweg,Aesch,4147,CH
34,Birsweg,Aesch,4147,CH
36,Birsweg,Aesch,4147,CH
38,Birsweg,Aesch,4147,CH
38a,Birsweg,Aesch,4147,CH
4,Birsweg,Aesch,4147,CH
40a,Birsweg,Aesch,4147,CH
40b,Birsweg,Aesch,4147,CH
40c,Birsweg,Aesch,4147,CH
40d,Birsweg,Aesch,4147,CH
40e,Birsweg,Aesch,4147,CH
40f,Birsweg,Aesch,4147,CH
40g,Birsweg,Aesch,4147,CH
40h,Birsweg,Aesch,4147,CH
40i,Birsweg,Aesch,4147,CH
40k,Birsweg,Aesch,4147,CH
40l,Birsweg,Aesch,4147,CH
42a,Birsweg,Aesch,4147,CH
42b,Birsweg,Aesch,4147,CH
42c,Birsweg,Aesch,4147,CH
42d,Birsweg,Aesch,4147,CH
4a,Birsweg,Aesch,4147,CH
6,Birsweg,Aesch,4147,CH
6a,Birsweg,Aesch,4147,CH
8,Birsweg,Aesch,4147,CH
8a,Birsweg,Aesch,4147,CH
10,Blumenrain,Aesch,4147,CH
11,Blumenrain,Aesch,4147,CH
12,Blumenrain,Aesch,4147,CH
13,Blumenrain,Aesch,4147,CH
14,Blumenrain,Aesch,4147,CH
16,Blumenrain,Aesch,4147,CH
18,Blumenrain,Aesch,4147,CH
20,Blumenrain,Aesch,4147,CH
22,Blumenrain,Aesch,4147,CH
22a,Blumenrain,Aesch,4147,CH
4,Blumenrain,Aesch,4147,CH
6,Blumenrain,Aesch,4147,CH
8,Blumenrain,Aesch,4147,CH
9,Blumenrain,Aesch,4147,CH
1,Bruggfeldweg,Aesch,4147,CH
10,Bruggfeldweg,Aesch,4147,CH
11,Bruggfeldweg,Aesch,4147,CH
11a,Bruggfeldweg,Aesch,4147,CH
11b,Bruggfeldweg,Aesch,4147,CH
12,Bruggfeldweg,Aesch,4147,CH
2,Bruggfeldweg,Aesch,4147,CH
2a,Bruggfeldweg,Aesch,4147,CH
3,Bruggfeldweg,Aesch,4147,CH
4,Bruggfeldweg,Aesch,4147,CH
4a,Bruggfeldweg,Aesch,4147,CH
6,Bruggfeldweg,Aesch,4147,CH
6a,Bruggfeldweg,Aesch,4147,CH
8,Bruggfeldweg,Aesch,4147,CH
1,Brüelrainweg,Aesch,4147,CH
10,Brüelrainweg,Aesch,4147,CH
11,Brüelrainweg,Aesch,4147,CH
11a,Brüelrainweg,Aesch,4147,CH
11b,Brüelrainweg,Aesch,4147,CH
12,Brüelrainweg,Aesch,4147,CH
12a,Brüelrainweg,Aesch,4147,CH
14,Brüelrainweg,Aesch,4147,CH
17,Brüelrainweg,Aesch,4147,CH
18,Brüelrainweg,Aesch,4147,CH
18a,Brüelrainweg,Aesch,4147,CH
19,Brüelrainweg,Aesch,4147,CH
1a,Brüelrainweg,Aesch,4147,CH
